field,Gini,M20,C,A,size,n,q,z.mode,mass
COSMOS,0.413285270236152,-1.13233025910555,2.2575302554631,0.121151837786524,0.755424360177973,0.3398,0.3579,2.04,10.5512
COSMOS,0.417793545021487,-1.6031466739982,2.97055497732476,0.100247939257748,0.653778643860133,0.6722,0.8124,1.79,9.87608
COSMOS,0.421283102895037,-1.22184629011131,3.00771932145319,0.148201600798796,0.842892440328077,1.1939,0.3585,2.02,9.76061
COSMOS,0.472508078242709,-1.3748499893348,2.46346814409185,0.234107049772081,0.872288915402307,0.4609,0.4927,1.94,9.75162
COSMOS,0.450319308029323,-1.22318334858189,2.21490679098072,0.231223632274033,0.902632807223419,0.5721,0.5583,2.05,10.3025
COSMOS,0.512301460082422,-1.65742910958663,3.05906946231388,0.15008325239116,0.636009593765976,1.1638,0.4712,2.05,9.97234
COSMOS,0.331973366811082,-1.29407996089231,2.9751671126488,0.0936142113661503,0.808899129706171,0.7442,0.2343,1.96,10.6824
COSMOS,0.358177432649194,-1.65643635468875,3.7300351481425,0.0720019191248314,0.381485622223471,0.9118,0.5919,1.49,9.82788
COSMOS,0.482863626969568,-1.57420616599064,3.27508479816689,0.210166077629599,0.762971244446943,2.7372,0.2745,1.75,10.4107
COSMOS,0.474009987321118,-1.50356835727634,3.01717858802709,0.180958924115234,0.665934931829873,1.3866,0.5368,1.59,9.80028
COSMOS,0.474321449673208,-1.80133725572021,3.15300179566032,0.130015756537383,0.90326734706082,2.2391,0.3908,1.74,11.0284
COSMOS,0.497413778219029,-1.496938332122,2.27991891272872,0.391998080605108,1.0406201193506,0.5978,0.3446,1.81,9.71629
COSMOS,0.461896262788635,-1.63645957502561,3.19572999624606,0.104052220949016,0.381485622223471,1.4727,0.7603,1.69,10.6017
COSMOS,0.483942563364069,-1.60984042742533,3.00504002038875,0.176744531140863,0.472708726491294,1.3563,0.4967,1.69,10.1826
COSMOS,0.317004475323841,-1.28520548038304,2.92971398433065,0.0979161537459889,0.460428478917632,0.509,0.3333,2,9.75075
COSMOS,0.442570494149164,-1.71839583687868,3.28840683129041,0.0929895499145568,0.421446220164038,1.9126,0.4439,2.03,11.0387
COSMOS,0.480200059567359,-1.70642325637443,3.15579397290063,0.10136953935642,0.45163367353041,0.8779,0.6065,1.99,10.5197
COSMOS,0.23119919002162,-1.11645822830023,2.54883286207503,0.0126542928990267,0.312094256871606,1.213,0.4025,2.01,9.62085
COSMOS,0.503812895512721,-0.871619199980319,1.42941342685154,0.454696706624623,1.64727900421865,0.6238,0.3315,1.85,9.9266
COSMOS,0.14786590628201,-0.79010527125828,1.97301431824425,0.0442401302972573,0.636009593765976,7.3636,0.9808,1.55,10.095
COSMOS,0.531093236784572,-1.48868754058961,3.15293742140794,0.211735124842636,0.757696318270773,2.3666,0.4779,1.95,9.92875
COSMOS,0.185375574061997,-0.771595257153268,2.07983576769788,0.0206435945949493,0.346873373116866,0.6134,0.4391,1.56,9.61857
COSMOS,0.493166752881199,-1.66574083947939,3.26617242125909,0.126517042284124,0.430857662833547,2.0932,0.667,1.55,10.1877
COSMOS,0.493988123555044,-1.62492062235285,4.09934497103373,0.212824592422214,0.711684403999166,3.3002,0.6373,1.63,10.333
COSMOS,0.51142312109783,-2.13309577301339,3.93127255822643,0.176895180702153,0.809607137832703,4.3385,0.6338,1.49,10.2018
COSMOS,0.475453048763613,-1.65942869442245,3.2991829171914,0.0948097147202695,0.446530304352937,1.6181,0.7248,2.02,9.892
COSMOS,0.457384096270989,-1.58016347200846,3.70454503489412,0.0737539683345596,0.331674383492482,3.0011,0.6369,1.59,10.6574
COSMOS,0.178235122599383,-1.27193010174709,2.54093530273782,0.00485317520129109,0.51893175246027,2.8557,0.8453,1.48,8.56478
COSMOS,0.275898203843076,-1.00173168037531,2.49290743747242,0.13312666480751,0.403385688661799,2.7462,0.264,2.05,10.2115
COSMOS,0.403437974836681,-1.38922674826972,3.13033783058529,0.128754128037601,0.829185958731205,0.6057,0.256,1.91,10.2112
COSMOS,0.492074114427286,-1.46665865953958,2.85219055749404,0.153102755628561,0.775632441873962,0.852,0.4398,1.77,9.57933
COSMOS,0.451917212183758,-1.67917495651307,3.38285396562205,0.0547355847885253,0.411819751054662,1.7131,0.4973,1.6,11.0224
COSMOS,0.341874385420107,-1.11442184420698,2.37040596305254,0.137327495206479,0.692920365063425,0.2179,0.482,1.99,10.7004
COSMOS,0.325028067478144,-1.10327366557696,1.95373899285128,0.0931275443672867,1.12933788210668,0.2,0.9153,1.77,10.4022
COSMOS,0.490859050194836,-1.06887875508916,2.83459455609622,0.315700335944733,0.865695556203864,1.0014,0.6135,1.73,11.0218
COSMOS,0.767398947915014,-1.55213819581119,3.23291471062938,0.398914795448578,0.656402515182856,3.7792,0.5116,1.7,9.77017
COSMOS,0.47890652377249,-1.70301924220071,3.45058297465048,0.251272651513822,0.33681692866586,2.4154,0.4735,1.75,10.1748
COSMOS,0.477950155575871,-1.65913171583053,3.09281503202213,0.0980714765389522,0.714897442474579,0.46,0.2423,1.8,9.91061
COSMOS,0.453387744904553,-1.70747395522027,3.46486562270679,0.0695267026203079,0.396220186090822,2.9366,0.5708,1.91,10.7285
COSMOS,0.4752078753673,-0.837310599791851,2.63220375410764,0.155850096888982,0.930758930248754,0.2,0.1536,1.6,9.58051
COSMOS,0.467375792717084,-1.63089153766088,2.88963654309126,0.0699727679237391,0.61680140723483,1.0092,0.7289,1.88,10.3317
COSMOS,0.353356083065332,-1.78488693309777,3.14050986847357,0.101131192677504,0.777845377731429,3.0262,0.5761,1.55,9.8914
COSMOS,0.46746910148245,-1.30895693630605,2.37779507598346,0.221913172340237,1.24469991485247,0.4614,0.6206,1.88,10.4934
COSMOS,0.461869339581739,-1.46424788596596,2.77622025863399,0.131085231564273,0.682086306596334,0.7305,0.4998,1.81,10.1803
COSMOS,0.452973582012056,-1.58901964837193,3.12489868623052,0.184569076685306,0.859718300211623,0.8639,0.5632,1.74,10.0423
COSMOS,0.455814502803885,-1.59726106912341,3.22078230202418,0.115600844664604,0.36615860506154,0.7692,0.6906,1.99,9.79042
COSMOS,0.519446694941613,-1.74458371491954,3.21446929897075,0.281822958242567,0.865033456255222,3.4422,0.4646,1.53,9.94639
COSMOS,0.389156050264457,-1.13612901211598,2.67331406205806,0.137028581201276,1.04172072264008,0.2845,0.5762,1.57,10.6284
COSMOS,0.358532287005955,-1.51886320687711,3.64320904067084,0.20696137259928,0.47633106855611,1.6602,0.2943,1.74,9.67139
COSMOS,0.561954882680497,-1.6898349551417,3.34031234803715,0.345617757649787,0.706837461764781,2.2003,0.6622,1.99,9.54533
COSMOS,0.246539162612418,-1.16661530507415,2.2552016298321,0.220979978281228,0.441367930806578,0.4039,0.5602,1.97,9.63795
COSMOS,0.428916576740134,-1.30364247800264,2.3849784771091,0.0780772008548407,0.765969178370751,0.4643,0.6527,1.8,9.70398
COSMOS,0.425620583635719,-1.02678783584036,3.01441339441531,0.209242546000983,1.22005915911888,0.3293,0.2107,1.82,9.76428
COSMOS,0.478753890400708,-1.64990803700432,3.70832002955821,0.109740186266263,0.345217643505095,8,0.5788,1.8,10.7285
COSMOS,0.281476561666271,-1.83496326168054,2.85015471365061,0.0236239645719358,0.644066334840377,3.1912,0.3724,1.99,10.9527
COSMOS,0.40456469258314,-1.02885727955453,3.06565167986277,0.206616112211901,1.12679832889914,1.0555,0.2514,1.79,9.96242
COSMOS,0.404785831520867,-1.02923184863503,3.06512923216721,0.204210230726596,1.12730669722138,1.2907,0.4137,1.97,10.3698
COSMOS,0.449795441644929,-1.78044455914109,2.91710282653151,0.176798453773999,0.863707733704134,1.044,0.6727,1.95,10.0715
COSMOS,0.327606899156781,-1.37283656483699,2.70221393021193,0.123421504488626,0.614008329907731,0.9753,0.4834,1.99,9.69188
COSMOS,0.50719589044233,-1.55977651770166,2.95700794336514,0.30051767818766,0.766716830260184,1.5131,0.4508,1.5,9.924
COSMOS,0.462276648884476,-0.789286028468931,1.82294451678875,0.325041217933646,1.23034730655032,0.8255,0.4458,1.76,10.5549
COSMOS,0.362785333293099,-1.6687193940478,3.39000681819996,0.244745917877079,0.755424360177973,0.9388,0.6308,1.56,10.1221
COSMOS,0.109049413025651,-0.776102227030147,2.19329644002742,0.0225782446563381,0.358249279286511,0.2,0.249,1.76,9.86652
COSMOS,0.431991014171365,-0.7575035208665,1.81363099547907,0.304063318431688,1.12984510776985,0.5896,0.4114,1.54,10.0608
COSMOS,0.36925270860382,-1.07831147305733,2.46426631188264,0.159207566104274,0.91586582645687,0.2,0.1992,1.92,10.4568
COSMOS,0.443628747956501,-0.943183150621313,2.33826067838724,0.29049433258037,0.865033456255222,0.6677,0.8542,1.5,10.4061
COSMOS,0.308840837909002,-1.33945768375037,2.87453612947389,0.116501697148225,0.466609003502625,0.3898,0.586,1.84,10.5843
COSMOS,0.469725387426306,-1.69015033433156,2.87808583315069,0.14739241119653,0.886621731585398,0.7328,0.361,1.88,9.96209
